x,y,z,force
0,0,-0.015,1.0390983806793132e-13
0,0,-0.0075,2.9490062471215255e-13
0,0,0.0,1.9440163747593005e-12
0,0,0.0075,2.8273240289446907e-13
0,0,0.015,1.5256924264783996e-13
0,0,-0.01125,2.235481203852858e-14
0,0,-0.00375,1.3064926522407414e-13
0,0,0.00375,3.36510452263488e-13
0,0,0.01125,1.1492033761736366e-14
0,0,-0.01406,1.605504588504501e-13
0,0,-0.01312,1.5664884658559943e-13
0,0,-0.01219,8.987980540559804e-14
0,0,-0.01031,2.2325983529597842e-14
0,0,-0.009375,1.0438585832374424e-13
0,0,-0.008438,2.230113008346688e-13
0,0,-0.006562,2.5390507700489346e-13
0,0,-0.005625,1.2475352887013425e-13
0,0,-0.004688,3.160858890432656e-14
0,0,-0.002812,4.929641887443231e-13
0,0,-0.001875,1.052397321049267e-12
0,0,-0.0009375,1.6157791009159142e-12
0,0,0.0009375,1.874755997066923e-12
0,0,0.001875,1.4449221206329889e-12
0,0,0.002812,8.503425871724042e-13
0,0,0.004688,5.993414964255691e-14
0,0,0.005625,3.9029533823853785e-14
0,0,0.006562,1.6443262531224565e-13
0,0,0.008438,2.882313991445667e-13
0,0,0.009375,1.9013570636387095e-13
0,0,0.01031,7.083636521629637e-14
0,0,0.01219,3.70104944331519e-14
0,0,0.01312,1.1059808073838227e-13
0,0,0.01406,1.653482496252056e-13
0,0,-0.01453,1.3657163237783126e-13
0,0,-0.01359,1.6806296316631596e-13
0,0,-0.01266,1.2807080195989666e-13
0,0,-0.01172,5.135722124829969e-14
0,0,-0.01078,1.143666767126228e-14
0,0,-0.009844,5.462691725468949e-14
0,0,-0.008906,1.6391769701784085e-13
0,0,-0.007969,2.7033724428341246e-13
0,0,-0.007031,2.892969754254449e-13
0,0,-0.006094,1.946695547090448e-13
0,0,-0.005156,6.318488279961177e-14
0,0,-0.004219,5.003580697024867e-14
0,0,-0.003281,2.79587697846634e-13
0,0,-0.002344,7.57933839898573e-13
0,0,-0.001406,1.3487883989211911e-12
0,0,-0.0004688,1.8230542941706854e-12
0,0,0.0004688,1.9614541823057637e-12
0,0,0.001406,1.6946738576180437e-12
0,0,0.002344,1.1521077656076929e-12
0,0,0.003281,5.710311180475769e-13
0,0,0.004219,1.642342836983621e-13
0,0,0.005156,2.20532253780907e-14
0,0,0.006094,9.308292643141596e-14
0,0,0.007031,2.3320121676817694e-13
0,0,0.007969,3.01623949067312e-13
0,0,0.008906,2.477809032553064e-13
0,0,0.009844,1.2690508931652225e-13
0,0,0.01078,3.054853122217788e-14
0,0,0.01172,1.4909847725103904e-14
0,0,0.01266,7.174203523569248e-14
0,0,0.01359,1.4452336322287755e-13
0,0,0.01453,1.6781714190934916e-13
0,0,-0.025,6.028407485884906e-18
0,0,0.025,5.996771114848218e-18
0,0,-0.01477,1.2081496304656608e-13
0,0,-0.0143,1.501549268068854e-13
0,0,-0.01383,1.6664610958273937e-13
0,0,-0.01336,1.6465833056974383e-13
0,0,-0.01289,1.442367744974991e-13
0,0,-0.01242,1.0981356743978812e-13
0,0,-0.01195,6.999616032767293e-14
0,0,-0.01148,3.5126963184134665e-14
0,0,-0.01102,1.4241498556845698e-14
0,0,-0.01055,1.4119855004576381e-14
0,0,-0.01008,3.593159783304313e-14
0,0,-0.009609,7.770669262810815e-14
0,0,-0.009141,1.334671680572923e-13
0,0,-0.008672,1.9420534521885994e-13
0,0,-0.008203,2.4885253859010595e-13
0,0,-0.007734,2.8617080643519475e-13
0,0,-0.007266,2.9599929946113116e-13
0,0,-0.006797,2.75279430392647e-13
0,0,-0.006328,2.2653926819106612e-13
0,0,-0.005859,1.5986138349508057e-13
0,0,-0.005391,9.170796591449737e-14
0,0,-0.004922,4.205278492748259e-14
0,0,-0.004453,3.377168756821147e-14
0,0,-0.003984,8.20011039312235e-14
0,0,-0.003516,1.9646521736171564e-13
0,0,-0.003047,3.78909552399317e-13
0,0,-0.002578,6.201056836567645e-13
0,0,-0.002109,9.030466852958208e-13
0,0,-0.001641,1.2025833636483567e-12
0,0,-0.001172,1.4879901706891324e-12
0,0,-0.0007031,1.7286257306984065e-12
0,0,-0.0002344,1.8959251510141283e-12
0,0,0.0002344,1.9661491488300717e-12
0,0,0.0007031,1.9307916909571128e-12
0,0,0.001172,1.795022921301984e-12
0,0,0.001641,1.576840325136923e-12
0,0,0.002109,1.3015025636817654e-12
0,0,0.002578,1.0006723674200858e-12
0,0,0.003047,7.062158815482027e-13
0,0,0.003516,4.463142907939463e-13
0,0,0.003984,2.4189213283796636e-13
0,0,0.004453,1.0359590723184104e-13
0,0,0.004922,3.2988575375949143e-14
0,0,0.005391,2.4811089446420337e-14
0,0,0.005859,6.25663057194376e-14
0,0,0.006328,1.2785165681471548e-13
