x,y,z,force
0,0,-0.015,1.0791281790271722e-16
0,0,-0.01125,2.848381109816434e-16
0,0,-0.0075,1.2059226119500098e-16
0,0,-0.00375,2.3754993683093344e-12
0,0,0.0,2.7326178348009518e-12
0,0,0.00375,2.7834666527374263e-12
0,0,0.0075,3.311428043669269e-15
0,0,0.01125,-4.85091687916052e-18
0,0,0.015,1.0420432583281722e-16
0,0,-0.01312,1.9935055659369913e-16
0,0,-0.009375,2.614292846306545e-16
0,0,-0.005625,3.9532477257458627e-14
0,0,-0.001875,2.4214444193371683e-12
0,0,0.001875,2.3221210795337766e-12
0,0,0.005625,2.0351138407755347e-13
0,0,0.009375,1.3188736066189366e-16
0,0,0.01312,6.169981801660783e-17
0,0,-0.01406,9.841218689231529e-19
0,0,-0.01219,6.953402298341266e-18
0,0,-0.01031,1.8567846829720032e-16
0,0,-0.008438,1.0739725300518557e-15
0,0,-0.006562,5.953393735375155e-15
0,0,-0.004688,7.591629380328893e-13
0,0,-0.002812,2.9187777477575353e-12
0,0,-0.0009375,2.379470275832525e-12
0,0,0.0009375,2.5947381271829656e-12
0,0,0.002812,2.6482385898286035e-12
0,0,0.004688,1.4850897491860413e-12
0,0,0.006562,2.567256952042348e-15
0,0,0.008438,1.5374410765959684e-15
0,0,0.01031,7.423985902054909e-16
0,0,0.01219,3.175357602544898e-16
0,0,0.01406,1.0394304750786634e-16
0,0,-0.01477,1.3610663757824398e-16
0,0,-0.01453,1.1227724718565744e-16
0,0,-0.0143,4.877885381556448e-17
0,0,-0.01383,4.984061293939018e-18
0,0,-0.01359,6.652941413549043e-17
0,0,-0.01336,1.5288112714848831e-16
0,0,-0.01289,1.6993963014346843e-16
0,0,-0.01266,7.807152081743509e-17
0,0,-0.01242,3.967710228738372e-18
0,0,-0.01195,1.019501796352829e-16
0,0,-0.01172,2.4150842836790293e-16
0,0,-0.01148,3.2473749766734805e-16
0,0,-0.01102,1.3522239549049117e-16
0,0,-0.01078,9.356983035254404e-18
0,0,-0.01055,1.3362885129348707e-17
0,0,-0.01008,4.472981541084078e-16
0,0,-0.009844,6.1410691524851e-16
0,0,-0.009609,5.474598144778142e-16
0,0,-0.009141,2.316698937985325e-17
0,0,-0.008906,5.389049171289204e-17
0,0,-0.008672,4.594870762980626e-16
0,0,-0.008203,1.4768785926395786e-15
0,0,-0.007969,1.299973726850488e-15
0,0,-0.007734,6.113463516304101e-16
0,0,-0.007266,5.131800017226644e-16
0,0,-0.007031,2.1578307274061757e-15
0,0,-0.006797,4.4770776583035185e-15
0,0,-0.006328,5.209907461075141e-15
0,0,-0.006094,4.611060362942857e-15
0,0,-0.005859,1.1427296049482213e-14
0,0,-0.005391,1.0911113623040861e-13
0,0,-0.005156,2.4230635011584903e-13
0,0,-0.004922,4.567101342272886e-13
0,0,-0.004453,1.1359153682346758e-12
0,0,-0.004219,1.5598991546985005e-12
0,0,-0.003984,1.9887864896631084e-12
0,0,-0.003516,2.67811786660493e-12
0,0,-0.003281,2.8698711398168126e-12
0,0,-0.003047,2.9452092488064484e-12
0,0,-0.002578,2.819350366367116e-12
0,0,-0.002344,2.68271804728624e-12
0,0,-0.002109,2.5411065914490438e-12
0,0,-0.001641,2.3397412085113385e-12
0,0,-0.001406,2.3059022375126248e-12
0,0,-0.001172,2.321216851332566e-12
0,0,-0.0007031,2.468171990173949e-12
0,0,-0.0004688,2.5698280253291903e-12
0,0,-0.0002344,2.664334638630565e-12
0,0,0.0002344,2.760578668773601e-12
0,0,0.0004688,2.7427046931807714e-12
0,0,0.0007031,2.6829328544003292e-12
0,0,0.001172,2.496709661138041e-12
0,0,0.001406,2.4085080504536547e-12
0,0,0.001641,2.3457897970734133e-12
0,0,0.002109,2.3445880887827276e-12
0,0,0.002344,2.4133610024939087e-12
0,0,0.002578,2.520236605542262e-12
0,0,0.003047,2.771236760477466e-12
0,0,0.003281,2.8569477640111473e-12
0,0,0.003516,2.87065504192371e-12
0,0,0.003984,2.5915659677496776e-12
0,0,0.004219,2.2886672141706308e-12
0,0,0.004453,1.9096452329163536e-12
0,0,0.004922,1.068641350041265e-12
0,0,0.005156,7.000433204370126e-13
0,0,0.005391,4.0783081076030816e-13
0,0,0.005859,8.089383379982979e-14
0,0,0.006094,2.1431263961901517e-14
0,0,0.006328,2.4467830509309795e-15
0,0,0.006797,6.731726496257035e-15
0,0,0.007031,8.41281710447363e-15
0,0,0.007266,6.629209502664938e-15
0,0,0.007734,7.235594617525995e-16
0,0,0.007969,1.0659737959059893e-17
0,0,0.008203,6.274177939421512e-16
0,0,0.008672,1.911221840658319e-15
0,0,0.008906,1.5378848335656392e-15
0,0,0.009141,7.625631769442052e-16
0,0,0.009609,-6.595684484040794e-18
0,0,0.009844,2.4218425014161133e-16
0,0,0.01008,5.873909045650099e-16
0,0,0.01055,6.119209858451053e-16
0,0,0.01078,3.0660634534379064e-16
0,0,0.01102,4.96207540541142e-17
0,0,0.01148,1.1471402771165203e-16
0,0,0.01172,2.8763956886157935e-16
0,0,0.01195,3.744010346995097e-16
0,0,0.01242,1.6447615126806823e-16
0,0,0.01266,2.743683597135083e-17
0,0,0.01289,-4.409214532230479e-18
0,0,0.01336,1.6417259506434466e-16
0,0,0.01359,2.2043425482960044e-16
0,0,0.01383,1.936619471431394e-16
0,0,0.0143,1.909686329131027e-17
0,0,0.01453,-3.839031622295187e-18
0,0,0.01477,3.646202470493188e-17
