L,N,R,absorption_coefficient,amplitude,axicon_angle,axicon_angle_degree,beam_pos_x,beam_pos_y,beam_pos_z,bessel_order,bessel_spot,epsrel,force_type,fx,fy,fz,gaussian_spot,longitudinal_wavenumber,medium_refractive_index,phase,q,qr,radius,rayleigh_range,refractive_index,transversal_wavenumber,vacuum_wavelength,vacuum_wavenumber,wavelength,wavenumber,zmax
3e-06,21,0.001,0,1,0.1047,6.0,0.0,0,-0.01269,0,2.929e-06,0.1,total,,,1.1058645337456391e-15,inf,7811000.0,1.33,0,0,2000000.0,1.8e-05,inf,1.596,821000.0,1.064e-06,5905000.0,8e-07,7854000.0,0.009514
3e-06,21,0.001,0,1,0.1047,6.0,0.0,0,-0.01249,0,2.929e-06,0.1,total,,,1.781364522854218e-15,inf,7811000.0,1.33,0,0,2000000.0,1.8e-05,inf,1.596,821000.0,1.064e-06,5905000.0,8e-07,7854000.0,0.009514
3e-06,21,0.001,0,1,0.1047,6.0,0.0,0,-0.01229,0,2.929e-06,0.1,total,,,2.3014251447832207e-15,inf,7811000.0,1.33,0,0,2000000.0,1.8e-05,inf,1.596,821000.0,1.064e-06,5905000.0,8e-07,7854000.0,0.009514
3e-06,21,0.001,0,1,0.1047,6.0,0.0,0,-0.01209,0,2.929e-06,0.1,total,,,3.5209153994453397e-15,inf,7811000.0,1.33,0,0,2000000.0,1.8e-05,inf,1.596,821000.0,1.064e-06,5905000.0,8e-07,7854000.0,0.009514
3e-06,21,0.001,0,1,0.1047,6.0,0.0,0,-0.01189,0,2.929e-06,0.1,total,,,5.333641451066399e-15,inf,7811000.0,1.33,0,0,2000000.0,1.8e-05,inf,1.596,821000.0,1.064e-06,5905000.0,8e-07,7854000.0,0.009514
3e-06,21,0.001,0,1,0.1047,6.0,0.0,0,-0.01169,0,2.929e-06,0.1,total,,,9.693687692691039e-15,inf,7811000.0,1.33,0,0,2000000.0,1.8e-05,inf,1.596,821000.0,1.064e-06,5905000.0,8e-07,7854000.0,0.009514
3e-06,21,0.001,0,1,0.1047,6.0,0.0,0,-0.0115,0,2.929e-06,0.1,total,,,1.675751578193415e-14,inf,7811000.0,1.33,0,0,2000000.0,1.8e-05,inf,1.596,821000.0,1.064e-06,5905000.0,8e-07,7854000.0,0.009514
3e-06,21,0.001,0,1,0.1047,6.0,0.0,0,-0.0113,0,2.929e-06,0.1,total,,,2.7994619430335202e-14,inf,7811000.0,1.33,0,0,2000000.0,1.8e-05,inf,1.596,821000.0,1.064e-06,5905000.0,8e-07,7854000.0,0.009514
3e-06,21,0.001,0,1,0.1047,6.0,0.0,0,-0.0111,0,2.929e-06,0.1,total,,,5.82403567474083e-14,inf,7811000.0,1.33,0,0,2000000.0,1.8e-05,inf,1.596,821000.0,1.064e-06,5905000.0,8e-07,7854000.0,0.009514
3e-06,21,0.001,0,1,0.1047,6.0,0.0,0,-0.0109,0,2.929e-06,0.1,total,,,1.2731266749729448e-13,inf,7811000.0,1.33,0,0,2000000.0,1.8e-05,inf,1.596,821000.0,1.064e-06,5905000.0,8e-07,7854000.0,0.009514
