,095,101,120
-0.01,6.13928e-17,2.16732e-18,6.684830000000001e-16
-0.009834710000000002,2.1178499999999997e-16,1.1731e-17,1.77872e-15
-0.009669420000000001,4.42553e-16,2.3353800000000003e-17,3.3757399999999995e-15
-0.00950413,5.4286799999999995e-16,2.5781100000000002e-17,4.00769e-15
-0.00933884,4.05109e-16,1.5854000000000002e-17,3.0147200000000002e-15
-0.00917355,1.65688e-16,3.54295e-18,1.41721e-15
-0.00900826,1.10552e-16,3.682e-18,1.16655e-15
-0.00884298,3.95237e-16,2.06866e-17,3.2161700000000004e-15
-0.00867769,8.412239999999999e-16,4.1416199999999997e-17,6.24108e-15
-0.0085124,1.05046e-15,4.57959e-17,7.55532e-15
-0.008347110000000001,7.950069999999999e-16,2.76688e-17,5.77217e-15
-0.008181820000000001,3.27486e-16,5.39738e-18,2.74536e-15
-0.00801653,2.45679e-16,7.83727e-18,2.4548600000000002e-15
-0.00785124,9.2557e-16,4.45928e-17,7.176899999999999e-15
-0.00768595,2.01641e-15,8.92933e-17,1.43525e-14
-0.00752066,2.58755e-15,9.87032e-17,1.78877e-14
-0.00735537,2.00653e-15,5.78495e-17,1.40155e-14
-0.007190080000000001,8.50188e-16,9.12309e-18,6.885129999999999e-15
-0.0070247899999999995,8.31564e-16,2.62704e-17,7.48879e-15
-0.0068595,3.3686999999999997e-15,1.4093500000000002e-16,2.42052e-14
-0.006694210000000001,7.74233e-15,2.8567e-16,5.165319999999999e-14
-0.00652893,1.07397e-14,3.2747900000000003e-16,6.9713e-14
-0.00636364,9.19979e-15,2.0208499999999998e-16,6.029209999999999e-14
-0.00619835,4.857909999999999e-15,5.71988e-17,3.62446e-14
-0.00603306,8.555729999999999e-15,2.58981e-16,6.352130000000001e-14
-0.0058677700000000005,4.01089e-14,1.17966e-15,2.55533e-13
-0.00570248,1.21999e-13,2.85115e-15,7.32838e-13
-0.00553719,2.68857e-13,4.7275e-15,1.56457e-12
-0.005371900000000001,4.78035e-13,5.80915e-15,2.72467e-12
-0.0052066099999999995,7.269819999999999e-13,5.1884700000000005e-15,4.09223e-12
-0.00504132,9.79813e-13,2.77418e-15,5.5004e-12
-0.00487603,1.20029e-12,-2.55151e-16,6.80768e-12
-0.004710740000000001,1.36462e-12,-1.6543399999999998e-15,7.9496e-12
-0.0045454499999999995,1.46749e-12,9.873889999999998e-16,8.94032e-12
-0.00438017,1.51915e-12,9.041100000000001e-15,9.826210000000001e-12
-0.00421488,1.53619e-12,2.19667e-14,1.06248e-11
-0.0040495900000000005,1.53252e-12,3.72869e-14,1.12921e-11
-0.0038843000000000003,1.5153e-12,5.1474199999999995e-14,1.17405e-11
-0.00371901,1.48722e-12,6.13203e-14,1.18952e-11
-0.00355372,1.45147e-12,6.51097e-14,1.1750999999999999e-11
-0.0033884300000000004,1.41504e-12,6.30677e-14,1.13915e-11
-0.00322314,1.38755e-12,5.697719999999999e-14,1.09592e-11
-0.0030578500000000004,1.3766399999999999e-12,4.92916e-14,1.05962e-11
-0.00289256,1.38375e-12,4.2248800000000004e-14,1.03913e-11
-0.00272727,1.40315e-12,3.7351300000000006e-14,1.03607e-11
-0.00256198,1.42512e-12,3.5273699999999994e-14,1.04642e-11
-0.00239669,1.44071e-12,3.60156e-14,1.06388e-11
-0.0022313999999999997,1.4453299999999999e-12,3.9077099999999994e-14,1.08266e-11
-0.0020661200000000003,1.43926e-12,4.35702e-14,1.09844e-11
-0.00190083,1.42595e-12,4.83291e-14,1.1082000000000001e-11
-0.00173554,1.40971e-12,5.2123500000000004e-14,1.10998e-11
-0.00157025,1.39461e-12,5.3978699999999995e-14,1.10342e-11
-0.00140496,1.3842700000000001e-12,5.3479999999999997e-14,1.09042e-11
