,095,101,120
-0.00025,6.415519999999999e-15,-3.4991400000000003e-17,2.7198500000000002e-14
-0.000245868,6.81836e-15,-3.5341000000000003e-17,2.7975799999999997e-14
-0.000241736,7.1699e-15,-7.56789e-17,2.87184e-14
-0.00023760299999999997,7.711270000000001e-15,-1.3699900000000001e-16,2.93818e-14
-0.00023347099999999996,8.346729999999999e-15,-1.73426e-16,2.97746e-14
-0.000229339,8.79077e-15,-1.95259e-16,2.98605e-14
-0.00022520699999999997,9.08647e-15,-2.46477e-16,2.9874599999999995e-14
-0.000221074,9.529670000000001e-15,-3.26964e-16,2.9943e-14
-0.000216942,1.0109299999999999e-14,-3.97683e-16,2.98157e-14
-0.00021281,1.04833e-14,-4.47321e-16,2.92928e-14
-0.00020867799999999998,1.05606e-14,-5.04019e-16,2.87371e-14
-0.000204545,1.0666200000000001e-14,-5.87816e-16,2.8732599999999994e-14
-0.00020041299999999998,1.1001899999999999e-14,-6.86443e-16,2.92948e-14
-0.00019628099999999997,1.1329000000000001e-14,-7.75491e-16,2.99341e-14
-0.000192149,1.13931e-14,-8.45664e-16,3.0658299999999996e-14
-0.00018801699999999999,1.1399799999999999e-14,-9.19102e-16,3.24067e-14
-0.00018388400000000002,1.1890799999999998e-14,-1.0442700000000001e-15,3.6079199999999995e-14
-0.000179752,1.3321600000000001e-14,-1.25729e-15,4.1466e-14
-0.00017562,1.5871e-14,-1.55119e-15,4.77355e-14
-0.000171488,1.95766e-14,-1.92073e-15,5.5161e-14
-0.00016735499999999997,2.4824400000000002e-14,-2.46897e-15,6.670700000000001e-14
-0.00016322299999999997,3.32853e-14,-3.4946399999999995e-15,8.93641e-14
-0.000159091,4.8832199999999994e-14,-5.51064e-15,1.35116e-13
-0.000154959,7.731810000000001e-14,-9.13544e-15,2.18105e-13
-0.00015082599999999998,1.24333e-13,-1.47491e-14,3.44102e-13
-0.00014669399999999997,1.91147e-13,-2.199e-14,4.97021e-13
-0.000142562,2.7067600000000003e-13,-2.95468e-14,6.37017e-13
-0.00013843,3.46947e-13,-3.5669199999999994e-14,7.19186e-13
-0.000134298,4.00864e-13,-3.9142900000000006e-14,7.21171e-13
-0.00013016499999999998,4.2031000000000005e-13,-3.99079e-14,6.55862e-13
-0.00012603299999999998,4.0719499999999996e-13,-3.88435e-14,5.592180000000001e-13
-0.00012190100000000001,3.75227e-13,-3.7078500000000003e-14,4.67089e-13
-0.00011776899999999999,3.40539e-13,-3.5453399999999997e-14,4.0029499999999996e-13
-0.00011363600000000001,3.1343299999999997e-13,-3.4328e-14,3.6228400000000003e-13
-0.00010950399999999999,2.96328e-13,-3.35662e-14,3.4250999999999997e-13
-0.00010537200000000001,2.85687e-13,-3.26392e-14,3.22559e-13
-0.00010123999999999999,2.74281e-13,-3.09325e-14,2.8655700000000003e-13
-9.710739999999999e-05,2.54264e-13,-2.8165e-14,2.3191300000000003e-13
-9.29752e-05,2.2231799999999999e-13,-2.4626499999999997e-14,1.71636e-13
-8.884299999999999e-05,1.83568e-13,-2.10447e-14,1.25961e-13
-8.47107e-05,1.49164e-13,-1.81735e-14,1.10125e-13
-8.057850000000001e-05,1.2828699999999999e-13,-1.6374e-14,1.26067e-13
-7.644629999999999e-05,1.21847e-13,-1.54708e-14,1.62348e-13
-7.231399999999999e-05,1.2372e-13,-1.50018e-14,2.03885e-13
-6.818179999999999e-05,1.27709e-13,-1.4681200000000002e-14,2.46431e-13
-6.40496e-05,1.3331800000000001e-13,-1.46674e-14,3.01607e-13
-5.9917399999999997e-05,1.45362e-13,-1.53744e-14,3.8324099999999996e-13
-5.5785099999999996e-05,1.68279e-13,-1.6990299999999998e-14,4.87283e-13
-5.16529e-05,2.00262e-13,-1.91485e-14,5.88594e-13
-4.7520699999999994e-05,2.32296e-13,-2.10528e-14,6.59015e-13
-4.338839999999999e-05,2.5301799999999997e-13,-2.19384e-14,6.86086e-13
-3.92562e-05,2.5541300000000003e-13,-2.14601e-14,6.750000000000001e-13
-3.5124e-05,2.4004699999999996e-13,-1.9706e-14,6.3976e-13
-3.0991700000000003e-05,2.13013e-13,-1.69437e-14,5.972239999999999e-13
-2.68595e-05,1.81324e-13,-1.3444899999999999e-14,5.64342e-13
-2.27273e-05,1.49542e-13,-9.50616e-15,5.52466e-13
-1.8594999999999997e-05,1.1926199999999998e-13,-5.43551e-15,5.62697e-13
-1.44628e-05,9.04827e-14,-1.37847e-15,5.89945e-13
-1.03306e-05,6.32347e-14,2.7642e-15,6.310170000000001e-13
-6.19835e-06,3.82461e-14,7.12847e-15,6.85929e-13
-2.06612e-06,1.6461e-14,1.16701e-14,7.53471e-13
