L,N,Q,absorption_coefficient,amplitude,beam_pos_x,beam_pos_y,beam_pos_z,bessel_order,epsrel,force_type,fx,fy,fz,medium_refractive_index,phase,radius,reference_function,refractive_index,vacuum_wavelength,vacuum_wavenumber,wavelength,wavenumber
0.001,15,5610000.0,0,1,0,0,-0.0002,0,0.1,total,,,9.007752502463543e-15,1.33,0,1.75e-05,lip_const_func,1.596,1.415e-06,4440000.0,1.064e-06,5905000.0
0.001,15,5610000.0,0,1,0,0,-0.0001,0,0.1,total,,,4.1181477507286295e-12,1.33,0,1.75e-05,lip_const_func,1.596,1.415e-06,4440000.0,1.064e-06,5905000.0
0.001,15,5610000.0,0,1,0,0,-0.0001875,0,0.1,total,,,3.1597088688251434e-14,1.33,0,1.75e-05,lip_const_func,1.596,1.415e-06,4440000.0,1.064e-06,5905000.0
0.001,15,5610000.0,0,1,0,0,-0.000175,0,0.1,total,,,2.3052764781152732e-14,1.33,0,1.75e-05,lip_const_func,1.596,1.415e-06,4440000.0,1.064e-06,5905000.0
0.001,15,5610000.0,0,1,0,0,-0.0001625,0,0.1,total,,,2.2100962454636946e-13,1.33,0,1.75e-05,lip_const_func,1.596,1.415e-06,4440000.0,1.064e-06,5905000.0
0.001,15,5610000.0,0,1,0,0,-0.00015,0,0.1,total,,,1.1430226389541944e-12,1.33,0,1.75e-05,lip_const_func,1.596,1.415e-06,4440000.0,1.064e-06,5905000.0
0.001,15,5610000.0,0,1,0,0,-0.0001375,0,0.1,total,,,2.579578496179426e-12,1.33,0,1.75e-05,lip_const_func,1.596,1.415e-06,4440000.0,1.064e-06,5905000.0
0.001,15,5610000.0,0,1,0,0,-0.000125,0,0.1,total,,,3.3672038702871286e-12,1.33,0,1.75e-05,lip_const_func,1.596,1.415e-06,4440000.0,1.064e-06,5905000.0
0.001,15,5610000.0,0,1,0,0,-0.0001125,0,0.1,total,,,3.309307897699373e-12,1.33,0,1.75e-05,lip_const_func,1.596,1.415e-06,4440000.0,1.064e-06,5905000.0
0.001,15,5610000.0,0,1,0,0,-8.125e-05,0,0.1,total,,,8.52612733447633e-12,1.33,0,1.75e-05,lip_const_func,1.596,1.415e-06,4440000.0,1.064e-06,5905000.0
0.001,15,5610000.0,0,1,0,0,-6.25e-05,0,0.1,total,,,1.3811092597293514e-11,1.33,0,1.75e-05,lip_const_func,1.596,1.415e-06,4440000.0,1.064e-06,5905000.0
